word1,word2,label1,label2,sim_value
bean,coffee,N,N,5.15
wood,paper,N,N,2.88
top,side,N,N,1.9
crime,fraud,N,N,5.65
pain,harm,N,N,5.38
lover,companion,N,N,5.97
evening,dusk,N,N,7.78
wine,liquor,N,N,7.85
cow,goat,N,N,2.93
belief,opinion,N,N,7.7
reality,illusion,N,N,1.42
pact,agreement,N,N,9.02
wealth,poverty,N,N,1.27
accident,emergency,N,N,4.93
battle,conquest,N,N,7.22
friend,teacher,N,N,2.62
illness,infection,N,N,6.9
game,trick,N,N,2.32
brother,son,N,N,3.48
aunt,nephew,N,N,3.1
worker,mechanic,N,N,4.92
doctor,orthodontist,N,N,5.58
oak,maple,N,N,6.03
bee,queen,N,N,3.27
car,bicycle,N,N,3.47
august,month,N,N,5.53
army,squad,N,N,5.08
cloud,weather,N,N,4.87
physician,doctor,N,N,8.88
canyon,valley,N,N,6.75
river,valley,N,N,1.67
sun,sky,N,N,2.27
chocolate,pie,N,N,2.27
opinion,choice,N,N,5.43
rhythm,melody,N,N,6.12
gut,nerve,N,N,4.93
doctor,professor,N,N,4.65
arm,vein,N,N,3.65
room,bath,N,N,3.33
corporation,business,N,N,9.02
fun,football,N,N,1.97
hill,cliff,N,N,4.28
bone,ankle,N,N,3.82
apple,candy,N,N,2.08
helper,maid,N,N,5.58
bee,ant,N,N,2.78
basketball,baseball,N,N,4.92
bed,furniture,N,N,6.08
emotion,passion,N,N,7.72
anarchy,chaos,N,N,7.93
crime,violation,N,N,7.12
beach,sea,N,N,4.68
alley,bowl,N,N,1.53
jar,bottle,N,N,7.83
seed,mustard,N,N,3.48
guitar,drum,N,N,3.78
opinion,idea,N,N,5.7
north,west,N,N,3.63
captain,sailor,N,N,5.0
motor,boat,N,N,2.57
card,bridge,N,N,1.97
sinner,saint,N,N,1.6
destruction,construction,N,N,0.98
beach,reef,N,N,3.77
man,child,N,N,4.13
bread,cheese,N,N,1.95
champion,winner,N,N,8.73
menu,order,N,N,3.62
wealth,prestige,N,N,6.07
danger,threat,N,N,8.78
god,priest,N,N,4.5
men,fraternity,N,N,3.13
teacher,helper,N,N,4.28
body,stomach,N,N,3.93
house,carpet,N,N,1.38
journey,conquest,N,N,4.72
god,prey,N,N,1.23
adversary,opponent,N,N,9.05
monster,demon,N,N,6.95
day,morning,N,N,4.87
man,victor,N,N,1.9
friend,guy,N,N,3.88
song,story,N,N,3.97
guy,stud,N,N,5.83
butter,potato,N,N,1.22
apartment,furniture,N,N,1.28
flower,bulb,N,N,4.48
body,shoulder,N,N,2.88
idea,image,N,N,3.55
ball,costume,N,N,2.32
room,bed,N,N,2.35
flower,bush,N,N,4.25
bone,knee,N,N,4.17
arm,knee,N,N,2.75
bottom,side,N,N,2.63
cat,rabbit,N,N,2.37
belief,concept,N,N,5.08
attitude,confidence,N,N,4.35
right,justice,N,N,7.05
argument,agreement,N,N,1.45
depth,magnitude,N,N,6.12
medium,news,N,N,3.65
winner,candidate,N,N,2.78
birthday,date,N,N,5.08
fee,payment,N,N,7.15
bible,hymn,N,N,5.15
exit,doorway,N,N,5.5
man,sentry,N,N,3.25
whiskey,gin,N,N,6.28
blood,marrow,N,N,3.4
oil,mink,N,N,1.23
floor,deck,N,N,5.55
roof,floor,N,N,2.62
door,floor,N,N,1.67
shoulder,head,N,N,3.42
wagon,carriage,N,N,7.7
car,carriage,N,N,5.13
elbow,ankle,N,N,3.13
administration,management,N,N,7.25
pollution,atmosphere,N,N,4.25
anatomy,biology,N,N,5.33
college,profession,N,N,3.12
formula,equation,N,N,7.95
book,information,N,N,5.0
boy,partner,N,N,1.9
population,people,N,N,7.68
college,class,N,N,4.13
rabbi,minister,N,N,7.62
meter,inch,N,N,5.08
polyester,cotton,N,N,5.63
lawyer,banker,N,N,1.88
pot,appliance,N,N,2.53
linen,fabric,N,N,7.47
whiskey,champagne,N,N,5.33
girl,child,N,N,5.38
cottage,cabin,N,N,7.72
sunset,evening,N,N,5.98
adult,baby,N,N,2.22
charcoal,coal,N,N,7.63
body,spine,N,N,4.78
head,nail,N,N,2.47
log,timber,N,N,8.05
spoon,cup,N,N,2.02
body,nerve,N,N,3.13
bone,neck,N,N,2.53
frustration,anger,N,N,6.5
river,sea,N,N,5.72
task,job,N,N,8.87
club,society,N,N,5.23
reflection,image,N,N,7.27
people,party,N,N,2.2
boy,brother,N,N,6.67
cab,bus,N,N,5.6
car,bridge,N,N,0.95
effort,difficulty,N,N,4.45
fact,insight,N,N,4.77
job,management,N,N,3.97
cancer,sickness,N,N,7.93
word,newspaper,N,N,2.47
composer,writer,N,N,6.58
actor,singer,N,N,4.52
shelter,hut,N,N,6.47
cabin,hut,N,N,6.53
value,belief,N,N,7.07
mood,emotion,N,N,8.12
logic,arithmetic,N,N,3.97
argument,criticism,N,N,5.08
aggression,hostility,N,N,8.48
hysteria,confusion,N,N,6.33
chemistry,theory,N,N,3.17
trial,verdict,N,N,3.33
comfort,safety,N,N,5.8
confidence,self,N,N,3.12
era,decade,N,N,5.4
biography,fiction,N,N,1.38
code,symbol,N,N,6.03
danger,disease,N,N,3.0
journey,trip,N,N,8.88
activity,movement,N,N,7.15
gossip,news,N,N,5.22
fever,illness,N,N,7.65
aviation,flight,N,N,8.18
molecule,air,N,N,3.05
home,state,N,N,2.58
word,literature,N,N,4.77
adult,guardian,N,N,6.9
newspaper,information,N,N,5.65
communication,television,N,N,5.6
cousin,uncle,N,N,4.63
author,reader,N,N,1.6
guy,partner,N,N,3.57
area,corner,N,N,2.07
ballad,song,N,N,7.53
wall,decoration,N,N,2.62
word,page,N,N,2.92
nurse,scientist,N,N,2.08
politician,president,N,N,7.38
book,essay,N,N,4.72
man,warrior,N,N,4.72
article,journal,N,N,6.18
breakfast,supper,N,N,4.4
aisle,hallway,N,N,6.75
teacher,rabbi,N,N,4.37
book,article,N,N,5.43
room,cell,N,N,4.58
box,booth,N,N,3.8
daughter,kid,N,N,4.17
limb,leg,N,N,6.9
mountain,ledge,N,N,3.73
bed,couch,N,N,3.42
clothes,coat,N,N,5.35
kidney,organ,N,N,6.17
chicken,steak,N,N,3.73
car,hose,N,N,0.87
tobacco,cigarette,N,N,7.5
student,professor,N,N,1.95
baby,daughter,N,N,5.0
milk,juice,N,N,4.05
box,cigar,N,N,1.25
apartment,hotel,N,N,3.33
cup,cone,N,N,3.17
bone,teeth,N,N,4.17
bone,elbow,N,N,3.78
bacon,bean,N,N,1.22
cup,jar,N,N,5.13
proof,fact,N,N,7.3
birthday,year,N,N,1.67
word,clue,N,N,2.53
author,creator,N,N,8.02
atom,carbon,N,N,3.1
archbishop,bishop,N,N,7.05
letter,paragraph,N,N,4.0
page,paragraph,N,N,3.03
steeple,chapel,N,N,7.08
boy,soldier,N,N,2.15
guy,girl,N,N,3.33
bed,chair,N,N,3.5
clothes,jacket,N,N,5.15
tin,metal,N,N,5.63
bottle,container,N,N,7.93
meat,bread,N,N,1.67
arm,bone,N,N,3.83
neck,spine,N,N,5.32
dinner,soup,N,N,3.72
nail,hand,N,N,3.42
dog,horse,N,N,2.38
arm,neck,N,N,1.58
ball,glove,N,N,1.75
fee,salary,N,N,3.72
nerve,brain,N,N,3.88
dinner,chicken,N,N,2.85
girl,maid,N,N,2.93
child,boy,N,N,5.75
alcohol,wine,N,N,7.42
nose,mouth,N,N,3.73
bell,door,N,N,2.2
box,hat,N,N,1.3
belief,impression,N,N,5.95
bias,opinion,N,N,5.6
attention,awareness,N,N,8.73
anger,mood,N,N,4.1
elegance,style,N,N,5.72
beauty,age,N,N,1.58
book,theme,N,N,2.58
car,factory,N,N,2.75
pact,condition,N,N,2.45
chapter,choice,N,N,0.48
arithmetic,rhythm,N,N,2.35
winner,presence,N,N,1.08
belief,flower,N,N,0.4
choice,vein,N,N,0.98
hymn,conquest,N,N,0.68
jail,choice,N,N,1.08
condition,boy,N,N,0.48
hole,agreement,N,N,0.3
doctor,temper,N,N,0.48
fraternity,door,N,N,0.68
task,woman,N,N,0.68
fraternity,baseball,N,N,0.88
presence,door,N,N,0.48
task,highway,N,N,0.48
liquor,century,N,N,0.4
island,task,N,N,0.3
night,chapter,N,N,0.48
pollution,president,N,N,0.68
bath,trick,N,N,0.58
diet,apple,N,N,1.18
cent,wife,N,N,0.58
chapter,tail,N,N,0.3
course,stomach,N,N,0.58
hole,wife,N,N,0.68
pupil,president,N,N,0.78
bath,wife,N,N,0.48
people,cent,N,N,0.48
formula,log,N,N,1.77
woman,fur,N,N,0.58
meal,waist,N,N,0.98
stomach,vein,N,N,2.35
couch,baseball,N,N,0.88
cliff,tail,N,N,0.3
ankle,window,N,N,0.3
wagon,container,N,N,2.65
people,balloon,N,N,0.48
dollar,people,N,N,0.4
bath,balloon,N,N,0.4
stomach,bedroom,N,N,0.4
bicycle,bedroom,N,N,0.4
log,bath,N,N,0.4
bowl,tail,N,N,0.48
go,come,V,V,2.42
listen,hear,V,V,8.17
think,rationalize,V,V,8.25
occur,happen,V,V,9.32
vanish,disappear,V,V,9.8
plead,beg,V,V,9.08
create,make,V,V,8.72
ignore,avoid,V,V,6.87
carry,bring,V,V,5.8
lose,fail,V,V,7.33
achieve,accomplish,V,V,8.57
make,construct,V,V,8.33
listen,obey,V,V,4.93
inform,notify,V,V,9.25
receive,give,V,V,1.47
borrow,beg,V,V,2.62
imitate,portray,V,V,6.75
win,succeed,V,V,7.9
think,decide,V,V,5.13
agree,argue,V,V,0.77
destroy,make,V,V,1.6
give,lend,V,V,7.22
understand,know,V,V,7.47
decide,choose,V,V,8.87
succeed,fail,V,V,0.83
spend,save,V,V,0.55
leave,go,V,V,7.63
know,believe,V,V,5.5
gather,meet,V,V,7.3
make,earn,V,V,7.62
forget,ignore,V,V,3.07
multiply,add,V,V,2.7
shrink,grow,V,V,0.23
arrive,leave,V,V,1.33
succeed,try,V,V,3.98
arrive,come,V,V,7.05
agree,differ,V,V,1.05
send,receive,V,V,1.08
leave,remain,V,V,2.53
forget,learn,V,V,1.18
go,send,V,V,3.75
speak,hear,V,V,3.02
analyze,evaluate,V,V,8.03
argue,rationalize,V,V,4.2
lose,keep,V,V,1.05
compare,analyze,V,V,8.1
go,allow,V,V,3.62
learn,listen,V,V,3.88
destroy,construct,V,V,0.92
create,build,V,V,8.48
steal,buy,V,V,1.13
forget,know,V,V,0.92
create,imagine,V,V,5.13
do,happen,V,V,4.23
win,accomplish,V,V,7.85
give,deny,V,V,1.43
deserve,earn,V,V,5.8
get,put,V,V,1.98
locate,find,V,V,8.73
know,comprehend,V,V,7.63
pretend,imagine,V,V,8.47
satisfy,please,V,V,7.67
argue,differ,V,V,5.15
behave,obey,V,V,7.3
achieve,try,V,V,4.42
begin,quit,V,V,1.28
say,participate,V,V,3.82
come,bring,V,V,2.42
declare,announce,V,V,9.08
read,comprehend,V,V,4.7
proclaim,announce,V,V,8.18
conclude,decide,V,V,7.75
please,plead,V,V,2.98
argue,prove,V,V,4.83
find,disappear,V,V,0.77
verify,justify,V,V,4.08
assume,predict,V,V,4.85
learn,evaluate,V,V,4.17
argue,justify,V,V,5.0
achieve,succeed,V,V,7.5
give,put,V,V,3.65
understand,listen,V,V,4.68
expand,grow,V,V,8.27
borrow,sell,V,V,1.73
explain,prove,V,V,4.1
assume,pretend,V,V,3.72
agree,please,V,V,4.13
forgive,forget,V,V,3.92
clarify,explain,V,V,8.33
understand,forgive,V,V,4.87
remind,forget,V,V,0.87
get,remain,V,V,1.6
realize,discover,V,V,7.47
require,inquire,V,V,1.82
think,inquire,V,V,4.77
reject,avoid,V,V,4.78
argue,persuade,V,V,6.23
pursue,persuade,V,V,3.17
do,quit,V,V,1.17
discuss,explain,V,V,6.67
explore,discover,V,V,8.48
complain,argue,V,V,4.8
withdraw,reject,V,V,6.38
keep,borrow,V,V,2.25
reduce,shrink,V,V,8.02
give,borrow,V,V,2.22
disappear,shrink,V,V,5.8
deliver,carry,V,V,3.88
breathe,choke,V,V,1.37
pretend,seem,V,V,4.68
contemplate,think,V,V,8.82
determine,predict,V,V,5.8
pretend,portray,V,V,7.03
want,choose,V,V,4.78
lose,get,V,V,0.77
try,think,V,V,2.62
leave,ignore,V,V,4.42
leave,wander,V,V,3.57
keep,give,V,V,1.05
give,allow,V,V,5.15
bring,send,V,V,2.97
absorb,learn,V,V,5.48
leave,appear,V,V,0.97
create,destroy,V,V,0.63
begin,go,V,V,7.42
get,buy,V,V,5.08
replace,restore,V,V,5.73
put,hang,V,V,3.0
go,sell,V,V,0.97
give,steal,V,V,0.5
add,build,V,V,4.92
bring,restore,V,V,2.62
comprehend,satisfy,V,V,2.55
portray,decide,V,V,1.18
give,know,V,V,0.88
say,verify,V,V,4.9
arrange,require,V,V,0.98
borrow,want,V,V,1.77
ignore,explore,V,V,0.4
bring,complain,V,V,0.98
portray,notify,V,V,0.78
remind,sell,V,V,0.4
absorb,withdraw,V,V,2.97
